PV,elemField_eng,elemField_phy,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine,physicsName,physicsType,pvPolicy,,,,
FS1_SEE:PSQ_D2530:ON_CMD,PWRSTS,POWER_STATUS,setpoint,58,0.55,FS1_SEE:Q_D2530,253.298434,QUAD,LIVE,quadrupole-46cm,QUAD_Q11,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1270
FS1_SEE:PSQ_D2530:ON_RSTS,PWRSTS,POWER_STATUS,readback,58,0.55,FS1_SEE:Q_D2530,253.298434,QUAD,LIVE,quadrupole-46cm,QUAD_Q11,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1270
FS1_SEE:PSO_D2542:I_CSET,I,B4,setpoint,60,0.7,FS1_SEE:O_D2542,254.548434,OCT,LIVE,Octupole-70cm,OCT_O1,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1272
FS1_SEE:PSO_D2542:I_RSET,I,B4,readset,60,0.7,FS1_SEE:O_D2542,254.548434,OCT,LIVE,Octupole-70cm,OCT_O1,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1272
FS1_SEE:PSO_D2542:I_RD,I,B4,readback,60,0.7,FS1_SEE:O_D2542,254.548434,OCT,LIVE,Octupole-70cm,OCT_O1,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1272
FS1_SEE:PSO_D2542:ON_CMD,PWRSTS,POWER_STATUS,setpoint,60,0.7,FS1_SEE:O_D2542,254.548434,OCT,LIVE,Octupole-70cm,OCT_O1,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1272
FS1_SEE:PSO_D2542:ON_RSTS,PWRSTS,POWER_STATUS,readback,60,0.7,FS1_SEE:O_D2542,254.548434,OCT,LIVE,Octupole-70cm,OCT_O1,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1272
FS1_SEE:FC_D2569:AVG_RD,I_AVG,AVERAGE_INTENSITY,readback,67,0,FS1_SEE:FC_D2569,256.929434,FC,LIVE,Faraday cup,FCx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1279
FS1_SEE:FC_D2569:VBS:VoltageSet,BIAS_VOLT,BIAS_VOLTAGE,setpoint,67,0,FS1_SEE:FC_D2569,256.929434,FC,LIVE,Faraday cup,FCx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1279
FS1_SEE:FC_D2569:VBS:VoltageMeasure,BIAS_VOLT,BIAS_VOLTAGE,readback,67,0,FS1_SEE:FC_D2569,256.929434,FC,LIVE,Faraday cup,FCx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1279
FS1_SEE:FC_D2569:VBS:setOn,PWRSTS,POWER_STATUS,setpoint,67,0,FS1_SEE:FC_D2569,256.929434,FC,LIVE,Faraday cup,FCx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1279
FS1_SEE:FC_D2569:VBS:isOn,PWRSTS,POWER_STATUS,readback,67,0,FS1_SEE:FC_D2569,256.929434,FC,LIVE,Faraday cup,FCx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1279
FS1_SEE:FC_D2569:XCEN_RD,XCEN,XCEN,readback,67,0,FS1_SEE:FC_D2569,256.929434,FC,LIVE,Faraday cup,FCx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1279
FS1_SEE:FC_D2569:YCEN_RD,YCEN,YCEN,readback,67,0,FS1_SEE:FC_D2569,256.929434,FC,LIVE,Faraday cup,FCx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1279
FS1_SEE:FC_D2569:XRMS_RD,XRMS,XRMS,readback,67,0,FS1_SEE:FC_D2569,256.929434,FC,LIVE,Faraday cup,FCx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1279
FS1_SEE:FC_D2569:YRMS_RD,YRMS,YRMS,readback,67,0,FS1_SEE:FC_D2569,256.929434,FC,LIVE,Faraday cup,FCx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1279
FS1_SEE:VD_D2569:XCEN_RD,XCEN,XCEN,readback,68,0,FS1_SEE:VD_D2569,256.929434,VD,LIVE,viewer plate,Vx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1280
FS1_SEE:VD_D2569:YCEN_RD,YCEN,YCEN,readback,68,0,FS1_SEE:VD_D2569,256.929434,VD,LIVE,viewer plate,Vx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1280
FS1_SEE:VD_D2569:XRMS_RD,XRMS,XRMS,readback,68,0,FS1_SEE:VD_D2569,256.929434,VD,LIVE,viewer plate,Vx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1280
FS1_SEE:VD_D2569:YRMS_RD,YRMS,YRMS,readback,68,0,FS1_SEE:VD_D2569,256.929434,VD,LIVE,viewer plate,Vx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1280
FS1_SEE:SiD1_D2597:XCEN_RD,XCEN,XCEN,readback,80,0,FS1_SEE:SiD1_D2597,259.698434,VD,LIVE,Upper Si(Li) detector,SiD,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1292
FS1_SEE:SiD1_D2597:YCEN_RD,YCEN,YCEN,readback,80,0,FS1_SEE:SiD1_D2597,259.698434,VD,LIVE,Upper Si(Li) detector,SiD,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1292
FS1_SEE:SiD1_D2597:XRMS_RD,XRMS,XRMS,readback,80,0,FS1_SEE:SiD1_D2597,259.698434,VD,LIVE,Upper Si(Li) detector,SiD,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1292
FS1_SEE:SiD1_D2597:YRMS_RD,YRMS,YRMS,readback,80,0,FS1_SEE:SiD1_D2597,259.698434,VD,LIVE,Upper Si(Li) detector,SiD,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1292
FS1_SEE:VD_D2597:XCEN_RD,XCEN,XCEN,readback,81,0,FS1_SEE:VD_D2597,259.698434,VD,LIVE,Viewer,Vx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1293
FS1_SEE:VD_D2597:YCEN_RD,YCEN,YCEN,readback,81,0,FS1_SEE:VD_D2597,259.698434,VD,LIVE,Viewer,Vx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1293
FS1_SEE:VD_D2597:XRMS_RD,XRMS,XRMS,readback,81,0,FS1_SEE:VD_D2597,259.698434,VD,LIVE,Viewer,Vx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1293
FS1_SEE:VD_D2597:YRMS_RD,YRMS,YRMS,readback,81,0,FS1_SEE:VD_D2597,259.698434,VD,LIVE,Viewer,Vx,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1293
FS1_SEE:SiD2_D2597:XCEN_RD,XCEN,XCEN,readback,82,0,FS1_SEE:SiD2_D2597,259.698434,VD,LIVE,Lower Si(Li) detector,SiD,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1294
FS1_SEE:SiD2_D2597:YCEN_RD,YCEN,YCEN,readback,82,0,FS1_SEE:SiD2_D2597,259.698434,VD,LIVE,Lower Si(Li) detector,SiD,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1294
FS1_SEE:SiD2_D2597:XRMS_RD,XRMS,XRMS,readback,82,0,FS1_SEE:SiD2_D2597,259.698434,VD,LIVE,Lower Si(Li) detector,SiD,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1294
FS1_SEE:SiD2_D2597:YRMS_RD,YRMS,YRMS,readback,82,0,FS1_SEE:SiD2_D2597,259.698434,VD,LIVE,Lower Si(Li) detector,SiD,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1294
FS1_SEE:CHIP_D2597:XCEN_RD,XCEN,XCEN,readback,83,0,FS1_SEE:CHIP_D2597,259.698434,PTA,LIVE,target of chips for irradiation on flatform,CHIP,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1295
FS1_SEE:CHIP_D2597:YCEN_RD,YCEN,YCEN,readback,83,0,FS1_SEE:CHIP_D2597,259.698434,PTA,LIVE,target of chips for irradiation on flatform,CHIP,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1295
FS1_SEE:CHIP_D2597:XRMS_RD,XRMS,XRMS,readback,83,0,FS1_SEE:CHIP_D2597,259.698434,PTA,LIVE,target of chips for irradiation on flatform,CHIP,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1295
FS1_SEE:CHIP_D2597:YRMS_RD,YRMS,YRMS,readback,83,0,FS1_SEE:CHIP_D2597,259.698434,PTA,LIVE,target of chips for irradiation on flatform,CHIP,DEFAULT,phantasy.sys.FS1,phantasy.sub.SEE,FSEE,1295
